alpha		 beta		 Pos Reg 		 Bnd Reg  		 Neg Reg 		 Accuracy 		 generality 

 C1 
1.000 & 			0.000 & 			26.6 & 			2.2 & 			71.2 & 			1.000 & 				0.978 				
 0.950 & 			0.050 & 			26.6 & 			2.2 & 			71.2 & 			1.000 & 				0.978 				
 0.900 & 			0.100 & 			26.6 & 			2.2 & 			71.2 & 			1.000 & 				0.978 				
 0.850 & 			0.150 & 			26.6 & 			2.2 & 			71.2 & 			1.000 & 				0.978 				
 0.800 & 			0.200 & 			26.6 & 			2.2 & 			71.2 & 			1.000 & 				0.978 				
 0.750 & 			0.250 & 			26.6 & 			2.2 & 			71.2 & 			1.000 & 				0.978 				
 0.700 & 			0.300 & 			26.6 & 			2.2 & 			71.2 & 			1.000 & 				0.978 				
 0.600 & 			0.350 & 			26.6 & 			1.2 & 			72.2 & 			0.997 & 				0.987 				
 0.592 & 			0.355 & 			26.6 & 			1.2 & 			72.2 & 			0.997 & 				0.987 				
 0.583 & 			0.360 & 			26.6 & 			1.2 & 			72.2 & 			0.997 & 				0.987 				
 0.575 & 			0.365 & 			26.6 & 			1.2 & 			72.2 & 			0.997 & 				0.987 				
 0.566 & 			0.370 & 			26.6 & 			1.2 & 			72.2 & 			0.997 & 				0.987 				
 0.558 & 			0.375 & 			26.6 & 			1.2 & 			72.2 & 			0.997 & 				0.987 				
 0.549 & 			0.380 & 			26.6 & 			1.2 & 			72.2 & 			0.997 & 				0.987 				
 0.541 & 			0.384 & 			26.6 & 			1.2 & 			72.2 & 			0.997 & 				0.987 				
 0.532 & 			0.389 & 			26.6 & 			1.2 & 			72.2 & 			0.997 & 				0.987 				
 0.524 & 			0.394 & 			26.6 & 			1.2 & 			72.2 & 			0.997 & 				0.987 				
 0.516 & 			0.399 & 			26.6 & 			1.2 & 			72.2 & 			0.997 & 				0.987 				
 0.507 & 			0.404 & 			26.6 & 			1.2 & 			72.2 & 			0.997 & 				0.987 				
 
 C2 
1.000 & 			0.000 & 			54.1 & 			0.6 & 			45.3 & 			1.000 & 				0.994 				
 0.950 & 			0.050 & 			54.1 & 			0.6 & 			45.3 & 			1.000 & 				0.994 				
 0.900 & 			0.100 & 			54.1 & 			0.6 & 			45.3 & 			1.000 & 				0.994 				
 0.850 & 			0.150 & 			54.1 & 			0.6 & 			45.3 & 			1.000 & 				0.994 				
 0.800 & 			0.200 & 			54.1 & 			0.6 & 			45.3 & 			1.000 & 				0.994 				
 0.750 & 			0.250 & 			54.1 & 			0.6 & 			45.3 & 			1.000 & 				0.994 				
 0.700 & 			0.300 & 			54.1 & 			0.6 & 			45.3 & 			1.000 & 				0.994 				
 0.650 & 			0.350 & 			54.1 & 			0.6 & 			45.3 & 			1.000 & 				0.994 				
 0.600 & 			0.400 & 			54.1 & 			0.6 & 			45.3 & 			1.000 & 				0.994 				
 
 C3 
1.000 & 			0.000 & 			17.2 & 			1.6 & 			81.2 & 			1.000 & 				0.984 				
 0.950 & 			0.050 & 			17.2 & 			1.6 & 			81.2 & 			1.000 & 				0.984 				
 0.900 & 			0.100 & 			17.2 & 			1.6 & 			81.2 & 			1.000 & 				0.984 				
 0.850 & 			0.150 & 			17.2 & 			1.6 & 			81.2 & 			1.000 & 				0.984 				
 0.800 & 			0.200 & 			17.2 & 			1.6 & 			81.2 & 			1.000 & 				0.984 				
 0.750 & 			0.250 & 			17.2 & 			1.6 & 			81.2 & 			1.000 & 				0.984 				
 0.700 & 			0.300 & 			17.2 & 			1.6 & 			81.2 & 			1.000 & 				0.984 				
 0.600 & 			0.350 & 			18.1 & 			0.6 & 			81.2 & 			0.997 & 				0.994 				
 0.592 & 			0.355 & 			18.1 & 			0.6 & 			81.2 & 			0.997 & 				0.994 				
 0.583 & 			0.360 & 			18.1 & 			0.6 & 			81.2 & 			0.997 & 				0.994 				
 0.575 & 			0.365 & 			18.1 & 			0.6 & 			81.2 & 			0.997 & 				0.994 				
 0.566 & 			0.370 & 			18.1 & 			0.6 & 			81.2 & 			0.997 & 				0.994 				
 0.558 & 			0.375 & 			18.1 & 			0.6 & 			81.2 & 			0.997 & 				0.994 				
 0.549 & 			0.380 & 			18.1 & 			0.6 & 			81.2 & 			0.997 & 				0.994 				
 0.541 & 			0.384 & 			18.1 & 			0.6 & 			81.2 & 			0.997 & 				0.994 				
 0.532 & 			0.389 & 			18.1 & 			0.6 & 			81.2 & 			0.997 & 				0.994 				
 0.524 & 			0.394 & 			18.1 & 			0.6 & 			81.2 & 			0.997 & 				0.994 				
 0.516 & 			0.399 & 			18.1 & 			0.6 & 			81.2 & 			0.997 & 				0.994 				
 0.507 & 			0.404 & 			18.1 & 			0.6 & 			81.2 & 			0.997 & 				0.994 				
 
